	Date	Ticker	news_va	news_fl	news_t5	news_t5Be	news_txtBlod	Headline
0	2022-07-11	MELI	-59.01	-98.422	-100.0	-96.193	3.406	U.S. Stocks Tumble Over Heightened Inflation Fears     The price movement of the S&P 500 has declined during this morning’s Asian and European sessions. The pre-market price has so far declined by 0.81% before this afternoon’s market open....
1	2022-05-12	MELI	93.87	73.898	100.0	68.252	18.491	2 Solid Fintech And Crypto ETFs Worth A Look Now     Last week, the Federal Reserve (Fed) delivered the sharpest rate hike in more than two decades, raising interest rates by 50 basis points. A sharp multi-day sell-off on Wall Street followed the...
2	2022-03-30	MELI	28.322	97.662	0.0	2.028	67.5	10 Top Holdings Of Nancy Zevenbergen     Nancy Zevenbergen is the President and CIO of Zevenbergen Capital Investments LLC. She started her career as a part-time teller at Seattle’s Rainier Bancorp, and after college graduation in...
3	2022-03-07	MELI	125.706	99.942	100.0	5.154	61.493	3 Hedge Fund Favorite Stocks To Buy Now     These Hedge Fund Favorites Could Be Great Long-Term Plays Although investors should never blindly follow the market moves of a hedge fund, there’s something intriguing about checking out the...
4	2021-12-20	MELI	13.524	-62.0	100.0	50.013	15.031	Chart Of The Day: E-Tail Giant MercadoLibre Tops Out Despite Positive Fundamentals     MercadoLibre (NASDAQ:MELI) is one of Latin America's largest online retail platforms. The Argentinian e-tailer saw business boom during lockdowns when people sheltered in place and conducted their...
5	2021-11-01	MELI	0.0	-99.109	100.0	3.192	0.0	What's in the Cards for MercadoLibre's (MELI) Q3 Earnings?     MercadoLibre (NASDAQ:MELI), Inc. MELI is set to report third-quarter 2021 results on Nov 4.For the third quarter, the Zacks Consensus Estimate for sales is pegged at $1.84 billion, indicating growth...
6	2021-10-21	MELI	63.21	97.969	-100.0	6.121	-5.319	Time to Buy China & EM Internet ETFs?     (1:15) - China’s Regulatory Crack Down On Internet and Ecommerce(6:10) - What Is The Growth Potential For Chinese Technology Giants?(11:30) - The Next Frontier Internet & Ecommerce ETF:...
7	2021-09-23	MELI	-3.612	-12.12	0.0	-11.216	-22.653	Bored of Big Tech Names? 5 Future Tech ETF Plays for You     FAANG stocks — Facebook Inc (NASDAQ:FB). FB, Apple Inc (NASDAQ:AAPL). AAPL, Amazon.com Inc (NASDAQ:AMZN). AMZN, Netflix Inc (NASDAQ:NFLX). (NFLX) and Alphabet (NASDAQ:GOOGL) Inc.’s (GOOG,...
8	2021-09-06	MELI	95.312	93.654	100.0	-41.427	0.0	SoFi Technologies: 4 Trades To Get In On Fintech's Growth     SoFi Technologies has recently issued mixed Q2 metrics, which put pressure on the shares The fintech group is growing its platform, product offerings and customer numbers We’re optimistic on the...
9	2021-08-17	MELI	113.036	99.697	100.0	22.803	23.051	3 Reasons Why Sea Limited Stock Is Special     Finding growing companies with diverse business models such as Sea Ltd (NYSE:SE) is one of the smartest ways to generate outsized returns for your portfolio. With that said, it’s important to...
10	2021-08-11	MELI	120.274	98.4	0.0	61.111	9.388	3 Growth Stocks With Immense Upside     Although growth stocks can certainly expose investors to volatility given their lofty valuations and sensitivity to interest rates, their upside potential helps to justify the risk. These are...
11	2021-06-25	MELI	71.33	99.853	100.0	5.326	65.063	3 Extraordinary E-Commerce Stocks To Buy Now     When you stop to think about the long-term trends that are shaping up to deliver the most winning stocks, the rise of e-commerce is at the top of the list. Internet shopping is one of the most popular...
12	2021-06-10	MELI	0.0	-99.26	100.0	-92.294	-13.69	Moving Average Crossover Alert: MercadoLibre (MELI)     MercadoLibre (NASDAQ:MELI), Inc. MELI could be a stock to avoid from a technical perspective, as the firm is seeing unfavorable trends on the moving average crossover front. Recently, the 50 Day...
13	2021-04-28	MELI	73.738	-92.513	100.0	3.055	27.017	3 Forgotten Growth Stocks Making A Comeback     Growth investing in 2021 has been a completely different picture than what we saw last year, which makes sense given the colossal run that many of those stocks had. If you were overweight growth names...
14	2021-03-01	MELI	95.312	77.039	100.0	92.15	6.733	S&P 500 Earnings Increase As Yields Soar     The earnings per share (EPS) for all S&P 500 companies combined increased to $174.19 last week. The forward EPS has grown 9.54% so far this year. 95.8% of S&P 500 companies have now reported...
15	2021-01-07	MELI	113.764	99.288	100.0	15.498	39.437	2 ETFs To Help Diversify Any Buy-And-Hold Portfolio     A new year typically means renewed hopes for many people. It is also a good time for retail investors to review long-term portfolio holdings. Concerns about how COVID-19 could affect some sectors were...
16	2020-12-15	MELI	105.7	-99.504	100.0	10.016	4.326	Should iShares Morningstar MidCap Growth ETF (JKH) Be on Your Investing Radar?     Looking for broad exposure to the Mid Cap Growth segment of the US equity market? You should consider the iShares Morningstar MidCap Growth ETF (JKH), a passively managed exchange traded fund launched...
17	2020-12-14	MELI	125.706	98.782	100.0	94.292	0.0	Amazon (AMZN) AWS Clientele Strengthens With Arm Migration     Amazon AMZN continues to witness growth in its cloud clientele on the back of its well-performing cloud computing arm Amazon Web Services (“AWS”). Moreover, its strengthening cloud service...
18	2020-10-29	MELI	61.656	-99.668	100.0	47.044	23.887	"The Halloween Effect: 2 ETFs May See Sweeter Profits     The ""Halloween Indicator"" is a market timing strategy that suggests that stock market returns are higher in the winter months—November through April. The old stock market adage ""Sell in May and..."
19	2020-10-20	MELI	-70.644	72.295	100.0	-39.28	4.533	8 Financial Stocks To Watch     Forecasting stock performance is always a risky proposition, especially in the uncertain times we are currently experiencing. As the world fast approaches the one year mark of the current global...
20	2020-08-05	MELI	38.248	93.873	100.0	14.968	33.975	These 5 Earnings Charts May Surprise You     This is a big week for earnings with over 900 companies reporting including the rest of FAANG and many of the hot big cap stocks from drug makers, to restaurants, to retailers, and financials. Many of...
21	2020-05-12	MELI	-93.954	-87.086	-100.0	-60.519	29.434	5 Top Retailers Flying High Despite Pandemic-Induced Crisis     The global economy is reeling under coronavirus-induced uncertainties since mid-January. The economic devastation has led to the collapse of stock markets and Wall Street is no exception. Although,...
22	2020-03-16	MELI	105.084	-71.089	100.0	89.959	17.094	6 E-commerce Stocks To Gain As Coronavirus Boosts Online Orders      The coronavirus outbreak may have disrupted the global supply chain but not all industries are suffering.The global pandemic is expected to favor the ecommerce industry as any kind of lockdown and...
23	2020-03-10	MELI	-82.026	-99.992	-100.0	-95.817	-12.56	Why Is MercadoLibre (MELI) Down 8.1% Since Last Earnings Report?     A month has gone by since the last earnings report for MercadoLibre (NASDAQ:MELI). Shares have lost about 8.1% in that time frame, outperforming the S&P 500. Will the recent negative trend...
24	2020-02-27	MELI	-82.026	-99.987	-100.0	-95.891	-12.56	Paypal (PYPL) Down 7.9% Since Last Earnings Report: Can It Rebound?     A month has gone by since the last earnings report for Paypal (PYPL). Shares have lost about 7.9% in that time frame, outperforming the S&P 500. Will the recent negative trend continue leading up...
25	2020-02-11	MELI	-90.804	-99.916	-100.0	-96.462	-27.9	MercadoLibre (MELI) Reports Loss In Q4, Revenues Improve Y/Y     MercadoLibre, Inc. (NASDAQ:MELI) reported fourth-quarter 2019 loss of $1.11 per share, missing the Zacks Consensus Estimate of a loss of 69 cents. Moreover, the figure is wider than a loss of 5...
26	2020-02-10	MELI	-17.92	-99.854	-100.0	-95.548	0.0	MercadoLibre (MELI) Reports Q4 Loss, Tops Revenue Estimates     MercadoLibre (NASDAQ:MELI) came out with a quarterly loss of $1.11 per share versus the Zacks Consensus Estimate of a loss of $0.69. This compares to loss of $0.05 per share a year ago. These figures...
27	2020-02-04	MELI	-64.232	-81.414	100.0	-46.202	14.895	5 Red Hot Stocks That Drove Nasdaq ETF To New Highs     The Nasdaq Composite Index reached another all-time high amid the coronavirus epidemic that has hurt business operations in the world's second largest economy. This was driven by China’s...
28	2020-01-29	MELI	56.266	-97.968	100.0	92.548	0.0	PayPal (PYPL) Q4 Earnings Beat Estimates, Revenues Up Y/Y     PayPal Holdings, Inc. (NASDAQ:PYPL) reported non-GAAP earnings of 86 cents per share in fourth-quarter 2019, which surpassed the Zacks Consensus Estimate by 3.6%. The figure improved 24.6% on a...
29	2020-01-13	MELI	100.576	98.882	100.0	59.835	38.812	Top Research Reports For UnitedHealth, CVS & Morgan Stanley     Monday, January 13, 2020The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features new research reports on 16 major stocks, including UnitedHealth...
30	2019-12-30	MELI	89.992	-99.996	100.0	76.304	18.533	For Most U.S. Major Indices 2019 Has Been Great; Can That Continue In 2020?     When trading opened in 2019, investors were just hoping stocks would produce a rebound from the awful fourth quarter in 2018. But Apple (NASDAQ:AAPL) nearly spoiled everything. Shares fell more than...
31	2019-12-23	MELI	-50.568	-99.995	-100.0	-95.646	0.0	Forget MELI, Buy These 3 E-commerce Stocks Instead For 2020     MercadoLibre (NASDAQ:MELI) , which operates the largest online marketplace in Latin America through its e-commerce and payment services, has been witnessing a gloomy second-half 2019.We note that...
32	2019-12-19	MELI	104.02	-61.908	100.0	88.948	22.778	Top-Performing Stocks Of 2019 In Nasdaq ETF     2019 has been a banner year for U.S. stocks with the Nasdaq Composite Index gaining about 34%. The rally was mainly driven by trade optimism and a dovish Fed.In particular, the tech-laden Nasdaq...
33	2019-12-12	MELI	100.576	94.081	100.0	92.298	7.867	Amazon Boosts Presence In Brazil With E-commerce Intiatives     Amazon (NASDAQ:AMZN) plans establish a new distribution center in Brazil in a bid to ramp up initiatives to strengthen e-commerce presence in the country.The new facility, which will be located in...
34	2019-11-21	MELI	-82.026	-99.995	-100.0	-95.816	-12.56	Why Is Paypal (PYPL) Down 2.3% Since Last Earnings Report?     A month has gone by since the last earnings report for Paypal (PYPL). Shares have lost about 2.3% in that time frame, underperforming the S&P 500. Will the recent negative trend continue leading...
35	2019-11-04	MELI	41.44	-99.949	-100.0	-96.538	0.0	MercadoLibre (MELI) Reports Loss In Q3, Revenues Improve Y/Y     MercadoLibre, Inc. (NASDAQ:MELI) reported third-quarter 2019 loss of 97 cents per share (adjusted for valuation allowance on deferred tax assets in Mexico and Colombia), against the Zacks Consensus...
36	2019-10-28	MELI	100.086	98.635	100.0	35.225	34.681	5 Must See Big Tech Earnings Charts     Earnings season rolls on with over 900 companies reporting this week including some of the key FAANG companies plus many of the hot growth stocks. Not all are created equal. Some have great earnings...
37	2019-10-23	MELI	41.44	-3.012	100.0	93.331	40.575	PayPal (PYPL) Beats Earnings And Revenue Estimates In Q3     PayPal Holdings, Inc. (NASDAQ:PYPL) delivered non-GAAP earnings of 61 cents per share in the third quarter of 2019, which surpassed the Zacks Consensus Estimate by 9 cents and rose 5.2% on a...
38	2019-10-23	MELI	83.916	-92.444	100.0	93.691	6.85	MercadoLibre (MELI) Reports Next Week: Wall Street Expects Earnings Growth     MercadoLibre (NASDAQ:MELI) is expected to deliver a year-over-year increase in earnings on higher revenues when it reports results for the quarter ended September 2019. This widely-known consensus...
39	2019-10-22	MELI	71.484	75.123	100.0	24.247	-13.6	E-commerce Stocks' Q3 Earnings Roster: AMZN, EXPE, MELI & W     E-commerce stocks quarterly releases are expected to reflect the growing proliferation of Internet usage globally.Moreover, online retail and travel markets, which are pillars of growth for the...
40	2019-10-17	MELI	0.0	-99.466	100.0	-43.815	-20.4	What's In The Offing For PayPal's (PYPL) Earnings In Q3?     PayPal Holdings, Inc. (NASDAQ:PYPL) is scheduled to report third-quarter 2019 results on Oct 23.The company surpassed the Zacks Consensus Estimate in the trailing four quarters, with an average...
41	2019-10-10	MELI	3.612	-99.86	100.0	77.738	-6.8	5 Stock Charts To Watch: CYH, NWL, HEAR, AAXN, BYND     Stocks on the Long Side…. Community Health Systems Inc (NYSE:CYH) exploded, flagged, I put a swing on it, it broke out, backed off, and on Wednesday it came on again, gaining just 15 cents,...
42	2019-09-10	MELI	24.906	-96.458	0.0	5.313	0.0	NetEase, Autodesk And Amazon Highlighted As Zacks Bull And Bear Of The Day     For Immediate ReleaseChicago, IL – September 11, 2019 – Zacks Equity Research NetEase (NASDAQ:NTES) as the Bull of the Day, Autodesk (NASDAQ:ADSK) as the Bear of the Day. In addition,...
43	2019-09-09	MELI	113.036	96.681	100.0	86.388	54.0	Amazon Expands In Brazil With Prime Subscription Service     Amazon (NASDAQ:AMZN) has rolled out Prime Subscription services in Brazil, in order to strengthen presence in the Latin America.Notably, Prime members in Brazil will now enjoy unlimited nationwide...
44	2019-09-05	MELI	-82.026	-99.99	-100.0	-96.232	-12.56	MercadoLibre (MELI) Down 12% Since Last Earnings Report: Can It Rebound?     It has been about a month since the last earnings report for MercadoLibre (NASDAQ:MELI). Shares have lost about 12% in that time frame, underperforming the S&P 500. Will the recent negative trend...
45	2019-08-28	MELI	100.576	98.471	0.0	29.289	42.938	Top Analyst Reports For Costco, PayPal & NextEra     Wednesday, August 28, 2019 The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features updated research reports on 16 major stocks, including Costco...
46	2019-08-22	MELI	-82.026	-99.994	-100.0	-95.889	-12.56	Paypal (PYPL) Down 5.5% Since Last Earnings Report: Can It Rebound?     It has been about a month since the last earnings report for Paypal (PYPL). Shares have lost about 5.5% in that time frame, underperforming the S&P 500. Will the recent negative trend continue...
47	2019-08-08	MELI	0.0	-95.79	100.0	92.015	67.5	MercadoLibre (MELI) Q2 Earnings & Revenue Beat Estimates     MercadoLibre, Inc. (NASDAQ:MELI) delivered second-quarter 2019 earnings of 31 cents, which beat the Zacks Consensus Estimate by 3 cents and surged 138.5% sequentially. Notably, the figure shows an...
48	2019-08-07	MELI	10.808	-97.791	100.0	91.303	0.0	MercadoLibre (MELI) Q2 Earnings And Revenues Beat Estimates     MercadoLibre (NASDAQ:MELI) came out with quarterly earnings of $0.31 per share, beating the Zacks Consensus Estimate of $0.28 per share. This compares to loss of $0.25 per share a year ago. These...
49	2019-08-01	MELI	0.0	-87.361	100.0	5.835	5.226	What's In The Cards For MercadoLibre (MELI) In Q2 Earnings?     MercadoLibre, Inc. (NASDAQ:MELI) is set to report second-quarter 2019 results on Aug 7.The company topped the Zacks Consensus Estimate in two of the trailing four quarters, with an average positive...
50	2019-07-31	MELI	-75.922	-98.726	100.0	66.943	20.594	MercadoLibre (MELI) Dips More Than Broader Markets: What You Should Know     MercadoLibre (NASDAQ:MELI) closed at $621.42 in the latest trading session, marking a -1.95% move from the prior day. This change lagged the S&P 500's daily loss of 1.09%. At the same time, the...
51	2019-07-30	MELI	44.548	40.676	100.0	93.72	1.709	MercadoLibre (MELI) Earnings Expected To Grow: What To Know Ahead Of Next Week's Release     MercadoLibre (NASDAQ:MELI) is expected to deliver a year-over-year increase in earnings on higher revenues when it reports results for the quarter ended June 2019. This widely-known consensus outlook...
52	2019-07-29	MELI	0.0	71.195	0.0	-1.671	65.5	The Zacks Analyst Blog Highlights: Alphabet, Intel, PayPal, Starbucks And Stryker     For Immediate Release Chicago, IL – July 30, 2019 – Zacks.com announces the list of stocks featured in the Analyst Blog. Every day the Zacks Equity Research analysts discuss the latest...
53	2019-07-29	MELI	100.576	99.414	100.0	21.612	38.812	Top Research Reports For Alphabet, Intel & PayPal     Monday, July 29, 2019 The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features new research reports on 16 major stocks, including Alphabet...
54	2019-07-26	MELI	-31.29	84.639	100.0	77.47	33.174	3 Blue-Chip Tech Stocks To Buy Following Earnings      Some of the biggest technology companies in the world have once again helped drive indexes to new highs in July. Second-quarter earnings season has, of course, not been kind to everyone, but some...
55	2019-07-24	MELI	-14.378	68.083	100.0	92.97	0.0	PayPal (PYPL) Q2 Earnings Beat Estimates, Revenues Up Y/Y     PayPal Holdings, Inc. (NASDAQ:PYPL) delivered non-GAAP earnings of 86 cents per share in the second quarter of 2019, which surpassed the Zacks Consensus Estimate by 11 cents and surged 48.3% on a...
56	2019-07-08	MELI	0.0	-98.18	0.0	23.993	0.0	MercadoLibre, Ichor, Deutsche Bank, Citigroup And JPMorgan Highlighted As Zacks Bull And Bear Of The Day     For Immediate ReleaseChicago, IL – July 9, 2019 – Zacks Equity Research MercadoLibre (NASDAQ:MELI) as the Bull of the Day, Ichor Holdings, Ltd. (NYSE:C) as the Bear of the Day. In...
57	2019-07-03	MELI	85.736	69.661	100.0	92.389	24.974	Cars.com (CARS) Catches Eye: Stock Jumps 6.1%     Cars.com Inc. (NYSE:CARS) was a big mover last session, as the company saw its shares rise more than 6% on the day. The move came on solid volume too with far more shares changing hands than in a...
58	2019-06-03	MELI	78.036	-0.619	100.0	93.292	30.134	PayPal's New Commerce Platform To Boost E-commerce Presence     PayPal Holdings, Inc. (NASDAQ:PYPL) is leaving no stone unturned to bolster its presence in the booming e-commerce market on the back of its improved offerings.This is evident from its latest move...
59	2019-05-30	MELI	28.322	-0.1	0.0	-38.098	9.144	Stock Exchange: Technical Warning, Lookout Below?      The Stock Exchange is all about trading. Each week, we do the following: discuss an important issue for traders; highlight several technical trading methods, including current ideas; feature advice...
60	2019-05-16	MELI	110.684	75.425	100.0	89.808	45.47	Surging Earnings Estimates Signal Good News For MercadoLibre (MELI)      MercadoLibre, Inc. (NASDAQ:MELI) is an online trading platform in Latin America that could be an interesting play for investors. That is because, not only does the stock have decent short-term...
61	2019-05-03	MELI	38.248	-99.572	-100.0	-93.697	67.5	MercadoLibre (MELI) Q1 Earnings & Revenues Beat Estimates     MercadoLibre, Inc. (NASDAQ:MELI) reported first-quarter 2019 earnings of 13 cents per share against the Zacks Consensus Estimate of a loss of 1 cent per share. Notably, the company reported a loss...
62	2019-04-29	MELI	-41.44	-99.985	-100.0	-11.185	-30.6	What's In The Offing For MercadoLibre (MELI) In Q1 Earnings?     MercadoLibre, Inc. (NASDAQ:MELI) is set to report first-quarter 2019 results on May 2.The company missed the Zacks Consensus Estimate in three of the trailing four quarters, with an average negative...
63	2019-04-02	MELI	99.344	-24.632	100.0	89.179	38.651	Market’s Q1 Rally Looks Like It Has Legs, At Least For Now     by Charley Blaine The U.S. equity market just finished a strong start to the year, with the S&P 500 experiencing its best quarterly performance since the 2008-2009 financial crisis. On the...
64	2019-03-14	MELI	118.734	6.989	100.0	49.429	18.673	Five Stocks With Big Earnings Surprises     Stocks that receive favorable market reaction after reporting big earnings surprises tend to keep going higher in strong bull markets. Some recent examples include MELI, IONS, ZS, and...
65	2019-03-12	MELI	7.224	67.485	100.0	93.204	43.027	Amazon's (AMZN) E-commerce Lead Threatened By New Entrants      The e-commerce sector continues to grow driven by rapid proliferation of smartphones and internet globally. Notably, these two factors are strengthening online retail shopping, bolstering the adoption...
66	2019-02-27	MELI	-10.808	-92.713	-100.0	-95.066	67.5	Mercadolibre (MELI) Q4 Loss Narrows, Revenues Top Estimates     MercadoLibre, Inc. (NASDAQ:MELI) reported fourth-quarter 2018 loss of 5 cents per share, narrower than the Zacks Consensus Estimate of 18 cents. The figure also compares favorably with loss of $1.53...
67	2019-02-04	MELI	0.0	-98.86	0.0	18.211	0.0	UnitedHealth, MercadoLibre, Alphabet And Gilead Highlighted As Zacks Bull And Bear Of The Day     For Immediate ReleaseChicago, IL – February 5, 2018 – Zacks Equity Research UnitedHealth Group (NYSE:UNH) as the Bull of the Day, MercadoLibre (NASDAQ:MELI) as the Bear of the Day. In...
68	2019-01-21	MELI	73.738	-51.542	100.0	81.467	8.933	Amazon's (AMZN) Direct Sales Move To Boost Presence In Brazil     Amazon (NASDAQ:AMZN) is finally moving ahead with its plans for Brazil after a lot of delay.Reportedly, the company is initiating direct sales of merchandise by establishing in-house fulfilment and...
69	2018-11-05	MELI	-24.906	-99.929	-100.0	-96.521	67.5	Mercadolibre (MELI) Incurs Q3 Loss, Revenues Top Estimates     MercadoLibre, Inc. (NASDAQ:MELI) reported third-quarter 2018 loss of 23 cents per share wider than the Zacks Consensus Estimate of a loss of 10 cents per share. The figure also compares unfavorably...
70	2018-11-01	MELI	110.684	87.631	100.0	-7.06	40.5	5 Fantastic Earnings Charts To Finish The Week       This is the busiest week of earnings season with over 1000 companies reporting including many big cap glamour names. The reports keep coming even into the end of the week as some of the biggest names...
71	2018-10-30	MELI	73.738	99.3	100.0	93.572	0.0	E-commerce Stocks' Q3 Earnings On Nov 1: STMP, TVPT, MELI & W     The e-commerce sector continues to gain momentum in this data driven world on the back of increasing penetration of internet usage globally. This conducive scenario has enabled the e-commerce...
72	2018-08-07	MELI	64.232	-86.851	100.0	50.085	17.25	Momentum Monday – The Next One-Trillion-Dollar Company And Some Ideas For August       Chinese tech stocks might be trouble but their U.S. counterparts are hitting on all cylinders. And there are good fundamental reasons: 75% of the S&P 500 companies reported earnings already. So...
73	2018-06-07	MELI	-82.026	-99.994	-100.0	-95.984	-12.56	Why Is MercadoLibre (MELI) Down 3.2% Since Its Last Earnings Report?     A month has gone by since the last earnings report for MercadoLibre, Inc. (NASDAQ:MELI) . Shares have lost about 3.2% in that time frame. Will the recent negative trend continue leading up to its...
74	2018-05-17	MELI	62.958	97.089	-100.0	-24.338	3.586	What Falling Estimates & Price Mean For MercadoLibre (MELI)     Similar to wise buying decisions, exiting certain underperformers at the right time helps maximize portfolio returns. Selling off losers can be difficult, but if both the share price and estimates are...
75	2018-05-09	MELI	38.248	-99.858	-100.0	-96.467	0.0	Mercadolibre (MELI) Incurs Loss In Q1, Revenues Miss Mark     Mercadolibre, Inc. (NASDAQ:MELI) reported first-quarter 2018 loss of 29 cents per share, comparing unfavorably with the Zacks Consensus Estimate for profit of 48 cents per share. The company...
76	2018-02-26	MELI	21.434	-99.974	-100.0	-95.902	64.244	Fitbit (FIT) Q4 Loss Greater Than Estimated, Revenues Miss     Fitbit, Inc. (NYSE:FIT) reported fourth-quarter 2017 adjusted loss of 2 cents per share, which was greater than the Zacks Consensus Estimate. Also, the top line missed the Zacks Consensus Estimate...
77	2018-02-26	MELI	-31.682	-99.961	-100.0	-92.801	0.0	Mercadolibre (MELI) Misses On Q4 Earnings, Revenues Up Y/Y     Mercadolibre, Inc. (NASDAQ:MELI) reported fourth-quarter 2017 non-GAAP earnings (adjusted for Venezuela operations) of 20 cents per share, which missed the Zacks Consensus Estimate by 35 cents. The...
78	2018-02-22	MELI	71.484	-39.903	100.0	87.781	0.0	GoDaddy (GDDY) Beats Earnings & Revenue Estimates In Q4     GoDaddy’s (NYSE:GDDY) fourth-quarter 2017 adjusted earnings of 11 cents per share were above the Zacks Consensus Estimate by 2 cents. Earnings increased 10% from the year-ago...
79	2018-02-22	MELI	102.914	-88.998	100.0	14.794	15.561	Will Priceline (PCLN) Q4 Earnings Witness Agency Growth?     The Priceline Group Inc. (NASDAQ:PCLN) is slated to report fourth-quarter 2017 earnings on Feb 27, after the closing bell. Last quarter, the online travel company delivered a positive earnings...
80	2018-02-20	MELI	0.0	-0.415	100.0	90.646	0.0	Garmin (GRMN) Q4 Earnings Beat Estimates, Issues 2018 View     Garmin Ltd. (NASDAQ:GRMN) reported better-than-expected results in the fourth quarter of 2017 with revenues and earnings surpassing the Zacks Consensus Estimate.Earnings of 79 cents per share...
81	2022-07-11	MELI	-31.682	-91.4	-100.0	-35.927	-9.898	Why Shopify, MercadoLibre, and Sea Limited Plunged Today
82	2022-07-08	MELI	0.0	-43.225	0.0	7.674	0.0	2 E-Commerce Stocks to Watch in July
83	2022-07-08	MELI	0.0	-99.891	-100.0	-93.851	-10.777	3 Nasdaq-100 Stocks to Double Down On in July
84	2022-07-08	MELI	28.322	99.655	100.0	10.135	67.5	3 Top E-Commerce Stocks to Buy in July
85	2022-07-07	MELI	44.548	95.162	100.0	93.822	0.0	MercadoLibre (MELI) Boosts Mexico Presence With Recent Tie-Up
86	2022-07-07	MELI	31.682	39.965	100.0	5.475	41.7	Is Most-Watched Stock MercadoLibre, Inc. (MELI) Worth Betting on Now?
87	2022-07-07	MELI	89.166	-99.414	100.0	-1.137	137.0	Which E-Commerce Company Is the Best Buy During This Bear Market?
88	2022-07-07	MELI	0.0	20.998	100.0	18.984	33.125	3 Fintech Stocks With More Potential Than Any Cryptocurrency
